date,population
1-Jan-18,326970000
1-Jul-17,325720000
1-Jul-16,323410000
1-Jul-15,321040000
1-Jul-14,318620000
1-Jul-13,316230000
1-Jul-12,313990000
1-Jul-11,311640000
1-Jul-10,309340000
1-Jul-09,306770000
1-Jul-08,304090000
1-Jul-07,301230000
1-Jul-06,298380000
1-Jul-05,295520000
1-Jul-04,292810000
1-Jul-03,290110000
1-Jul-02,287630000
1-Jul-01,284970000
1-Jul-00,282160000
1-Jul-99,279040000
1-Jul-98,275850000
1-Jul-97,272650000
1-Jul-96,269390000
1-Jul-95,266280000
1-Jul-94,263130000
1-Jul-93,259920000
1-Jul-92,256510000
1-Jul-91,252980000
1-Jul-90,249620000
1-Jul-89,246820000
1-Jul-88,244500000
1-Jul-87,242290000
1-Jul-86,240130000
1-Jul-85,237920000
1-Jul-84,235820000
1-Jul-83,233790000
1-Jul-82,231660000
1-Jul-81,229470000
1-Jul-80,227220000
1-Jul-79,225060000
1-Jul-78,222580000
1-Jul-77,220240000
1-Jul-76,218040000